Gene_name,Gene_ID,New_Gene_ID,p,padj,loglik_full,loglik_red,mean,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isMonotonous
 GLS ,FBgn0261625,FBgn0261625,1.15E-38,1.74E-34,-179.8222524,-273.7254472,2076.730939,1.73E-08,0.000260609,9.48E-33,1.43E-28,TRUE
 Nop60B ,FBgn0259937,FBgn0259937,6.06E-26,4.57E-22,-170.2739285,-234.3170027,1934.468879,1,1,1.37E-27,1.03E-23,TRUE
 SCaMC ,FBgn0052103,FBgn0052103,3.00E-23,1.51E-19,-165.7424308,-223.4263688,1508.874772,1,1,8.20E-26,4.12E-22,TRUE
 CG15601 ,FBgn0030672,FBgn0030673,5.33E-17,2.01E-13,-178.9513099,-221.8081052,2864.42452,0.900249151,0.985513425,2.02E-18,7.63E-15,TRUE
 nop5 ,FBgn0026196,FBgn0026196,5.36E-16,1.31E-12,-165.8427467,-206.3073308,996.0853235,0.000961373,0.483570652,1.84E-14,4.02E-11,TRUE
 srl ,FBgn0037248,FBgn0037248,6.02E-16,1.31E-12,-163.6206085,-203.9657595,1476.771917,0.001068333,0.503785742,1.87E-14,4.02E-11,TRUE
 CG5346 ,FBgn0038981,FBgn0038981,6.08E-16,1.31E-12,-175.734411,-216.0686657,1828.165862,0.000201353,0.178730303,9.76E-14,1.64E-10,TRUE
 chrb ,FBgn0036165,FBgn0036165,2.13E-13,4.02E-10,-153.5207467,-187.7569819,599.4945987,4.27E-08,0.000322114,1.53E-07,6.99E-05,TRUE
 Nop56 ,FBgn0038964,FBgn0038964,2.93E-13,4.91E-10,-187.1802679,-221.0844967,3760.905518,0.293212782,0.949736616,4.21E-14,7.94E-11,TRUE
 B4 ,FBgn0023407,FBgn0023407,1.00E-12,1.51E-09,-170.1843723,-202.8014708,1453.397414,1.81E-05,0.030305563,2.03E-09,1.94E-06,TRUE
 bel ,FBgn0263231,FBgn0263231,1.25E-12,1.71E-09,-191.2285434,-223.6169823,2918.07685,0.034141687,0.949736616,1.55E-12,2.35E-09,TRUE
 Fib ,FBgn0003062,FBgn0003062,5.18E-12,6.52E-09,-166.0212929,-196.916325,946.0198756,0.004332499,0.949736616,5.12E-11,6.44E-08,TRUE
 CG10286 ,FBgn0037439,FBgn0037439,1.06E-11,1.23E-08,-146.8499062,-176.9932348,674.6220999,0.031758916,0.949736616,1.52E-11,2.08E-08,TRUE
 PRAS40 ,FBgn0001332,FBgn0267824,1.46E-11,1.58E-08,-120.9518946,-150.7558845,163.1066603,3.39E-06,0.010809786,1.62E-07,7.18E-05,TRUE
 mod ,FBgn0002780,FBgn0002780,2.90E-11,2.92E-08,-199.7738756,-228.859221,3843.486679,0.004770428,0.949736616,2.75E-10,2.96E-07,TRUE
 CG30349 ,FBgn0050349,FBgn0050349,4.81E-11,4.54E-08,-158.2645489,-186.8172505,787.2991862,1,1,6.10E-17,1.84E-13,TRUE
 CG12698 ,FBgn0030720,FBgn0030721,4.03E-10,3.58E-07,-166.6498709,-192.9577612,1069.232152,0.00983202,0.949736616,2.05E-09,1.94E-06,TRUE
 Mpp6 ,FBgn0032919,FBgn0032921,4.93E-10,4.13E-07,-174.9827362,-201.0788887,1028.364925,0.16505758,0.949736616,1.60E-10,1.85E-07,TRUE
 r-l ,FBgn0003257,FBgn0003257,1.90E-09,1.51E-06,-147.1198967,-171.7849215,642.8700327,0.007733414,0.949736616,1.29E-08,9.28E-06,TRUE
 nclb ,FBgn0263510,FBgn0263510,2.15E-09,1.62E-06,-169.8755368,-194.4095771,1431.516034,0.016565699,0.949736616,6.98E-09,5.26E-06,TRUE
 GABA-B-R2 ,FBgn0027575,FBgn0027575,2.31E-09,1.66E-06,-103.1721324,-127.6282567,62.0857138,0.032364974,0.949736616,3.91E-09,3.47E-06,TRUE
 peng ,FBgn0015527,FBgn0015527,8.92E-09,6.12E-06,-177.697146,-200.7166949,1638.178562,0.024751645,0.949736616,2.07E-08,1.36E-05,TRUE
 l(1)G0004 ,FBgn0027334,FBgn0027334,1.10E-08,6.90E-06,-130.0050464,-152.8024113,195.8946909,0.025921288,0.949736616,2.45E-08,1.52E-05,TRUE
 Pcyt1 ,FBgn0041342,FBgn0041342,1.06E-08,6.90E-06,-167.8365827,-190.6738355,1399.017796,0.000108517,0.116965838,4.81E-06,0.001274173,FALSE
 CG9799 ,FBgn0038146,FBgn0038146,1.72E-08,1.04E-05,-153.0874572,-175.4068084,484.3478755,0.245935267,0.949736616,4.35E-09,3.65E-06,TRUE
 PIG-U ,FBgn0032051,FBgn0032052,1.93E-08,1.12E-05,-141.9707436,-164.1676014,525.9570064,0.005536481,0.949736616,1.98E-07,8.30E-05,TRUE
 Pgm2a ,FBgn0033376,FBgn0033377,2.26E-08,1.26E-05,-119.9696676,-141.9951747,191.2493932,0.238276076,0.949736616,5.98E-09,4.75E-06,TRUE
 Nle ,FBgn0021874,FBgn0021874,2.91E-08,1.57E-05,-131.1227383,-152.8768339,339.8761263,0.042760357,0.949736616,4.17E-08,2.25E-05,TRUE
 CG32409 ,FBgn0052409,FBgn0052409,4.50E-08,2.34E-05,-161.2119252,-182.5004839,693.3911418,0.027205122,0.949736616,1.02E-07,4.96E-05,TRUE
 Obp46a ,FBgn0033507,FBgn0033508,4.89E-08,2.46E-05,-145.8741759,-167.0729837,440.4505816,0.054565829,0.949736616,5.64E-08,2.84E-05,TRUE
 CG1316 ,FBgn0035524,FBgn0035526,6.03E-08,2.93E-05,-153.8304696,-174.8060644,749.3365499,0.114887394,0.949736616,3.40E-08,1.90E-05,TRUE
 U3-55K ,FBgn0053505,FBgn0053505,6.54E-08,3.08E-05,-139.6603653,-160.5486269,257.4481736,0.082866465,0.949736616,5.08E-08,2.65E-05,TRUE
 DOR ,FBgn0035541,FBgn0035542,1.14E-07,5.20E-05,-146.2321487,-166.5261167,708.0228201,0.020661048,0.949736616,3.50E-07,0.000128806,TRUE
 RpI1 ,FBgn0019938,FBgn0019938,1.48E-07,6.58E-05,-173.9311489,-193.9387934,1318.305473,0.018169918,0.949736616,5.24E-07,0.000183719,TRUE
 kdn ,FBgn0261955,FBgn0261955,1.92E-07,8.27E-05,-171.6316553,-191.3624068,1683.123684,0.542833952,0.949736616,2.51E-08,1.52E-05,TRUE
 ImpL2 ,FBgn0001257,FBgn0001257,2.01E-07,8.44E-05,-225.8585801,-245.5363245,11710.74107,0.000868271,0.476011011,1.36E-05,0.002898999,FALSE
 CG10565 ,FBgn0037051,FBgn0037051,2.43E-07,9.67E-05,-173.8458788,-193.3205727,1837.255648,0.136019397,0.949736616,1.24E-07,5.86E-05,TRUE
 Orct2 ,FBgn0086365,FBgn0086365,2.43E-07,9.67E-05,-159.4356462,-178.908987,868.6791944,5.61E-06,0.011073102,0.002030523,0.142352062,FALSE
 CG6761 ,FBgn0036030,FBgn0036031,2.75E-07,0.000106483,-136.8654699,-156.2063802,402.9631891,1,1,1.42E-08,9.74E-06,TRUE
 CG5033 ,FBgn0028744,FBgn0028744,2.83E-07,0.000106696,-163.9056643,-183.2170833,958.0352722,0.064878382,0.949736616,2.99E-07,0.000118772,TRUE
 CG5059 ,FBgn0037007,FBgn0037007,3.06E-07,0.000112683,-153.2743806,-172.5001902,1027.310753,0.805610665,0.9519799,2.80E-08,1.63E-05,TRUE
 CG5728 ,FBgn0039182,FBgn0039182,3.14E-07,0.0001128,-172.352444,-191.5511017,1126.39615,0.062326039,0.949736616,3.47E-07,0.000128806,TRUE
 CG6231 ,FBgn0038720,FBgn0038720,3.52E-07,0.000120744,-113.2239434,-132.2988185,66.40669406,0.00703527,0.949736616,3.24E-06,0.000905483,TRUE
 28SrRNA-Psi:CR41609 ,FBgn0085819,FBgn0085819,3.45E-07,0.000120744,-147.6679446,-166.7661508,24.75675216,2.53E-06,0.010809786,0.006073399,0.30447706,FALSE
 TTLL3B ,FBgn0031851,FBgn0031853,3.97E-07,0.00013303,-128.9769108,-147.9227512,260.6192692,0.001397202,0.582808557,1.75E-05,0.003512145,FALSE
 CG13773 ,FBgn0042092,FBgn0042092,4.10E-07,0.00013437,-119.467274,-138.3785049,152.0001699,0.025925131,0.949736616,1.07E-06,0.000360177,TRUE
 Cyt-c-p ,FBgn0000409,FBgn0284248,4.31E-07,0.00013845,-179.9568767,-198.8125021,1504.563579,0.061869568,0.949736616,4.88E-07,0.000175186,TRUE
 CG12344 ,FBgn0033557,FBgn0033558,4.86E-07,0.00015269,-153.0199422,-171.7468724,619.7374149,0.045796987,0.949736616,7.40E-07,0.000253681,TRUE
 CG1789 ,FBgn0030061,FBgn0030063,6.12E-07,0.00018861,-149.7611708,-168.2370197,768.6910404,0.023068442,0.949736616,1.83E-06,0.000553387,TRUE
 28SrRNA-Psi:CR40741 ,FBgn0085771,FBgn0085771,6.98E-07,0.000210621,-96.21672546,-114.5510691,9.804167889,0.000342186,0.234708182,0.000121025,0.016305982,FALSE
 Nopp140 ,FBgn0037137,FBgn0037137,8.34E-07,0.000246697,-190.3898843,-208.5312996,2809.634425,0.32801282,0.949736616,1.93E-07,8.30E-05,TRUE
 Phax ,FBgn0033379,FBgn0033380,1.06E-06,0.000306446,-164.3668956,-182.2518053,732.0430184,0.365181501,0.949736616,2.23E-07,9.10E-05,TRUE
 CG1542 ,FBgn0039828,FBgn0039828,1.08E-06,0.000307193,-153.2680926,-171.1296667,582.594921,0.002020328,0.762168867,3.47E-05,0.006165526,FALSE
 Surf6 ,FBgn0038746,FBgn0038746,1.12E-06,0.000312566,-157.3345232,-175.1569531,691.3756108,0.006219635,0.949736616,1.22E-05,0.002673673,FALSE
 Men ,FBgn0002719,FBgn0002719,1.24E-06,0.000339406,-187.8484537,-205.5614165,3093.454712,0.075535765,0.949736616,1.22E-06,0.000390723,TRUE
 CG18600 ,FBgn0038601,FBgn0038601,1.28E-06,0.000345371,-137.7177897,-155.3922254,375.2496321,0.027257208,0.949736616,3.39E-06,0.000929502,TRUE
 RIOK2 ,FBgn0039306,FBgn0039306,1.45E-06,0.000385054,-139.8997829,-157.4366812,473.3176581,0.09519205,0.949736616,1.15E-06,0.000378415,TRUE
 Cpr67B ,FBgn0035983,FBgn0035985,1.85E-06,0.000481852,-134.5467307,-151.8205762,213.8911448,0.029518223,0.949736616,4.62E-06,0.001244822,FALSE
 Rtc1 ,FBgn0020909,FBgn0020909,2.48E-06,0.000632498,-124.3035081,-141.260241,275.9981438,0.022743416,0.949736616,8.07E-06,0.001932916,FALSE
 CG3808 ,FBgn0036838,FBgn0036838,2.51E-06,0.000632498,-141.1154737,-158.0557874,329.3001983,0.0712225,0.949736616,2.72E-06,0.000789846,TRUE
 RNaseMRP:RNA ,FBgn0065098,FBgn0065098,2.56E-06,0.000633251,-66.96630547,-83.88728471,3.631941904,5.87E-06,0.011073102,0.020807706,0.697751738,FALSE
 SpdS ,FBgn0037723,FBgn0037723,2.80E-06,0.000682434,-151.8630531,-168.6846436,541.2358039,0.730991931,0.949736616,3.20E-07,0.000123622,TRUE
 Nnp-1 ,FBgn0022069,FBgn0022069,3.10E-06,0.000742245,-173.9220433,-190.6344139,1183.742,0.157412913,0.949736616,1.58E-06,0.000495185,TRUE
 Txl ,FBgn0035630,FBgn0035631,4.72E-06,0.001113093,-187.4778389,-203.7297983,2775.180374,0.142679601,0.949736616,2.70E-06,0.000789846,TRUE
 CG11417 ,FBgn0024364,FBgn0024364,5.65E-06,0.001292578,-143.0184358,-159.0728849,413.6366148,0.019884661,0.949736616,2.19E-05,0.004183962,FALSE
 Tsr1 ,FBgn0037073,FBgn0037073,5.65E-06,0.001292578,-156.9095877,-172.9650444,768.2666568,0.021186269,0.949736616,2.06E-05,0.003983008,FALSE
 mv ,FBgn0265988,FBgn0265988,7.75E-06,0.001745374,-146.4207503,-162.1291327,472.3552945,0.120467969,0.949736616,5.39E-06,0.001401516,FALSE
 Aldh ,FBgn0012036,FBgn0012036,8.63E-06,0.001915083,-158.3150532,-173.9051939,1270.9496,0.002854376,0.897205685,0.000219341,0.025657817,FALSE
 Pi3K21B ,FBgn0020622,FBgn0020622,1.08E-05,0.002352154,-169.7637679,-185.11172,1142.918686,0.002355278,0.846217701,0.000331712,0.03476067,FALSE
 sty ,FBgn0014388,FBgn0014388,1.09E-05,0.002355363,-223.9445269,-239.2751378,8315.494683,0.000199697,0.178730303,0.003464628,0.207353992,FALSE
 CR40668 ,FBgn0085764,FBgn0085764,1.22E-05,0.002597995,-94.55621129,-109.7632169,5.178659445,3.58E-06,0.010809786,0.148866219,0.999999999,FALSE
 CG3164 ,FBgn0025683,FBgn0025683,1.40E-05,0.002941107,-194.802853,-209.8577039,4385.672922,0.025359767,0.949736616,4.53E-05,0.007680763,FALSE
 CG12725 ,FBgn0030482,FBgn0030483,1.51E-05,0.003131621,-143.035293,-158.0056892,586.6082181,7.47E-05,0.089346472,0.012068742,0.492208955,FALSE
 cindr ,FBgn0027598,FBgn0027598,1.79E-05,0.003651646,-183.8676055,-198.653359,2581.338563,1,1,1.64E-06,0.000505166,TRUE
 CG7006 ,FBgn0039233,FBgn0039233,1.89E-05,0.003811174,-137.4546618,-152.178334,269.7672472,0.00546281,0.949736616,0.000269809,0.029944881,FALSE
 Nmd3 ,FBgn0023542,FBgn0023542,2.13E-05,0.004234473,-138.955647,-153.5482181,487.233436,0.103885642,0.949736616,1.82E-05,0.003570446,FALSE
 bor ,FBgn0040237,FBgn0287225,2.27E-05,0.004439197,-155.1673115,-169.693178,1226.651711,0.037745766,0.949736616,5.14E-05,0.008427462,FALSE
 cwo ,FBgn0259938,FBgn0259938,2.44E-05,0.0047155,-152.9533226,-167.3980615,984.3831167,4.54E-06,0.011073102,0.232222824,0.999999999,FALSE
 FAM21 ,FBgn0034528,FBgn0034529,2.61E-05,0.004981829,-147.8283144,-162.1980889,371.3387192,0.421893493,0.949736616,5.85E-06,0.001480675,FALSE
 28SrRNA-Psi:CR45851 ,FBgn0267511,FBgn0267511,2.81E-05,0.005306365,-96.1540509,-110.4399448,1.767809031,0.000789804,0.46864383,0.002542592,0.169061762,FALSE
 Mpcp1 ,FBgn0034496,FBgn0034497,2.90E-05,0.005401041,-158.3420746,-172.5945892,616.4361301,0.04965612,0.949736616,5.13E-05,0.008427462,FALSE
 Uhg2 ,FBgn0063449,FBgn0063449,3.51E-05,0.006451672,-109.0538754,-123.0955352,95.28640686,0.012098732,0.949736616,0.000242248,0.027904758,FALSE
 Mtr4 ,FBgn0001986,FBgn0001986,3.68E-05,0.006697444,-149.1013692,-163.0880391,637.0918782,1,1,3.21E-06,0.000905483,TRUE
 CG9961 ,FBgn0031450,FBgn0031451,3.96E-05,0.007054443,-148.2328882,-162.1387108,872.3891154,0.652417266,0.949736616,6.01E-06,0.001486581,FALSE
 CG11089 ,FBgn0039241,FBgn0039241,3.97E-05,0.007054443,-125.0482899,-138.9507872,212.012072,0.024113811,0.949736616,0.000143278,0.018234983,FALSE
 TTLL4A ,FBgn0026147,FBgn0026147,4.10E-05,0.007200282,-150.2922615,-164.159005,664.7626423,0.314317124,0.949736616,1.26E-05,0.002720607,FALSE
 ncd ,FBgn0002924,FBgn0002924,5.02E-05,0.008705636,-160.015222,-173.6578171,1194.323932,0.044219245,0.949736616,0.000102887,0.014243742,FALSE
 Dmtn ,FBgn0037443,FBgn0037443,5.17E-05,0.008860977,-146.3569573,-159.9671186,577.965724,0.120999317,0.949736616,4.05E-05,0.007016539,FALSE
 CG13097 ,FBgn0032050,FBgn0032051,5.37E-05,0.009098562,-183.7135615,-197.2816477,1718.923071,0.065662914,0.949736616,7.57E-05,0.011773673,FALSE
 kz ,FBgn0001330,FBgn0001330,5.66E-05,0.009156035,-128.8691514,-142.3773301,303.1054865,0.213567866,0.949736616,2.59E-05,0.004815809,FALSE
 Prat ,FBgn0004901,FBgn0004901,5.62E-05,0.009156035,-146.8628986,-160.3790471,508.2293423,0.809177227,0.953203354,7.11E-06,0.001730635,FALSE
 l(2)09851 ,FBgn0022288,FBgn0022288,5.57E-05,0.009156035,-188.5544426,-202.0808966,2106.179142,0.049817997,0.949736616,0.000102585,0.014243742,FALSE
 ebd1 ,FBgn0035152,FBgn0035153,5.68E-05,0.009156035,-113.4478663,-126.9526353,118.1634625,0.048091553,0.949736616,0.000108328,0.014726723,FALSE
 28SrRNA-Psi:CR45848 ,FBgn0267508,FBgn0267508,5.70E-05,0.009156035,-88.35965257,-101.8597865,3.374606178,2.28E-05,0.034343245,0.13168255,0.999999999,FALSE
 CG11076 ,FBgn0039929,FBgn0039929,5.89E-05,0.009361054,-145.2296563,-158.6932917,647.208377,0.037912587,0.949736616,0.000141424,0.018234983,FALSE
 CG15765 ,FBgn0029813,FBgn0029814,6.45E-05,0.010146134,-99.16494413,-112.5270293,41.22687642,0.039969821,0.949736616,0.000148159,0.018630973,FALSE
 mbm ,FBgn0086912,FBgn0086912,6.66E-05,0.010358999,-149.150375,-162.4777093,423.5753792,0.043162222,0.949736616,0.000142321,0.018234983,FALSE
 Dbp45A ,FBgn0010220,FBgn0010220,7.07E-05,0.01037913,-127.9159093,-141.1767392,334.9737494,0.001743849,0.674735302,0.003163149,0.197022137,FALSE
 drongo ,FBgn0020304,FBgn0020304,6.81E-05,0.01037913,-142.1762039,-155.478711,701.4366149,0.460745904,0.949736616,1.50E-05,0.003151205,FALSE
 CG9302 ,FBgn0032513,FBgn0032514,6.88E-05,0.01037913,-145.4583264,-158.7486468,458.7709284,0.127618673,0.949736616,5.22E-05,0.008476907,FALSE
 CG12975 ,FBgn0037061,FBgn0037061,7.07E-05,0.01037913,-136.8967522,-150.1577375,306.4532788,0.004416182,0.949736616,0.001320656,0.1043387,FALSE
 Droj2 ,FBgn0038145,FBgn0038145,7.08E-05,0.01037913,-182.3476552,-195.6057841,2370.509038,0.644056555,0.949736616,1.14E-05,0.002550929,FALSE
 kra ,FBgn0250753,FBgn0250753,6.97E-05,0.01037913,-195.7416535,-209.0175175,3423.829719,0.625278672,0.949736616,1.15E-05,0.002550929,FALSE
 Pdp1 ,FBgn0016694,FBgn0016694,7.51E-05,0.010903083,-143.1118878,-156.3041807,456.4336631,0.911182683,0.991115597,8.67E-06,0.002043433,FALSE
 CG14269 ,FBgn0029657,FBgn0029658,8.18E-05,0.011655155,-133.2076645,-146.3045235,209.4312041,0.370939518,0.949736616,2.26E-05,0.004258751,FALSE
 CR41544 ,FBgn0085799,FBgn0085799,8.19E-05,0.011655155,-231.7198079,-244.8162044,573.6556831,0.003284717,0.949736616,0.002037644,0.142352062,FALSE
 CG18128 ,FBgn0034897,FBgn0034898,8.39E-05,0.011832166,-144.0003578,-157.0693831,320.3540852,0.031487294,0.949736616,0.000246005,0.028122789,FALSE
 CG31381 ,FBgn0043799,FBgn0043799,8.81E-05,0.012314545,-103.8466537,-116.8605416,64.83216049,0.245237353,0.949736616,3.64E-05,0.006385714,FALSE
 CG5114 ,FBgn0036460,FBgn0036460,0.000105328,0.014581581,-146.3410787,-159.1553003,279.6261496,0.035719881,0.949736616,0.000278079,0.03062928,FALSE
 Gclm ,FBgn0046114,FBgn0046114,0.000106453,0.014603417,-126.2138525,-139.0161537,271.8415411,0.049181719,0.949736616,0.000207378,0.025034674,FALSE
 Ptpmeg2 ,FBgn0028341,FBgn0028341,0.000110651,0.015042496,-170.6163534,-183.3752707,1397.805037,0.002288279,0.842198376,0.00392317,0.228320196,FALSE
 CG1234 ,FBgn0037489,FBgn0037489,0.00011533,0.015538615,-153.4479636,-166.1604004,532.3478998,0.11333348,0.949736616,0.000101809,0.014243742,FALSE
 CG13921 ,FBgn0035266,FBgn0035267,0.000116444,0.015549914,-151.6491959,-164.3508386,422.5987561,0.461821907,0.949736616,2.67E-05,0.004921325,FALSE
 CG1607 ,FBgn0039844,FBgn0039844,0.000117812,0.015594554,-97.38107308,-110.0696064,34.43992044,0.017243335,0.949736616,0.000625904,0.058273049,FALSE
 mars ,FBgn0033844,FBgn0033845,0.000123032,0.01614391,-177.760133,-190.3999809,2735.703462,1,1,8.81E-06,0.002044316,FALSE
 CG10365 ,FBgn0039109,FBgn0039109,0.000125106,0.016274506,-116.7395968,-129.3606688,139.4312647,0.002491487,0.854466816,0.004121398,0.233459448,FALSE
 CG7728 ,FBgn0036686,FBgn0036686,0.000129562,0.016710202,-155.7564462,-168.3381888,674.2676219,0.245792394,0.949736616,5.50E-05,0.008825137,FALSE
 Non3 ,FBgn0038585,FBgn0038585,0.000133974,0.017132836,-140.1922524,-152.736355,360.6246183,0.251604826,0.949736616,5.57E-05,0.008852516,FALSE
 CG14174 ,FBgn0036035,FBgn0036036,0.000135765,0.017215916,-150.2218402,-162.7510169,345.7900431,0.144472508,0.949736616,9.62E-05,0.013854643,FALSE
 Nepl10 ,FBgn0033741,FBgn0033742,0.000138471,0.01741273,-195.5692086,-208.0761939,2014.903086,1,1,9.78E-06,0.002236549,FALSE
 CG1941 ,FBgn0033212,FBgn0033214,0.000148953,0.018423744,-159.0271773,-171.452075,1147.3338,0.997092958,1,1.66E-05,0.003394205,FALSE
 CG12499 ,FBgn0038968,FBgn0038968,0.000148092,0.018423744,-180.0296513,-192.4610677,1121.636078,0.122968716,0.949736616,0.000123195,0.016451487,FALSE
 CG5589 ,FBgn0036754,FBgn0036754,0.000151085,0.018535543,-138.2506997,-150.6596006,232.3847646,0.047636462,0.949736616,0.000310964,0.032814359,FALSE
 CG9981 ,FBgn0030745,FBgn0030746,0.00016513,0.020095232,-140.0226865,-152.3314885,610.8385773,0.02714217,0.949736616,0.000583538,0.054693052,FALSE
 asRNA:CR45214 ,FBgn0266741,FBgn0266741,0.000167197,0.020183969,-129.6523703,-141.947158,301.1064853,0.194316445,0.949736616,9.06E-05,0.013541522,FALSE
 Taz ,FBgn0026619,FBgn0026619,0.000172922,0.020709454,-125.6191972,-137.8760394,287.0414426,1,1,1.66E-05,0.003394205,FALSE
 snoRNA:U3:9B ,FBgn0065046,FBgn0065046,0.000182092,0.021636003,-72.95632004,-85.15490005,3.248081349,0.000292557,0.210222916,0.043527968,0.999999999,FALSE
 whd ,FBgn0261862,FBgn0261862,0.000193918,0.022861102,-139.9216303,-152.0492221,531.641299,0.775143426,0.949736616,2.82E-05,0.005131794,FALSE
 RnrS ,FBgn0011704,FBgn0011704,0.000203592,0.023815499,-174.5091897,-186.5818245,2388.833576,0.470592556,0.949736616,4.80E-05,0.008056185,FALSE
 pit ,FBgn0266581,FBgn0266581,0.000209365,0.02430247,-174.8512945,-186.8923481,830.7156965,0.036928972,0.949736616,0.000561732,0.052978328,FALSE
 NFAT ,FBgn0030504,FBgn0030505,0.000220522,0.02540217,-171.5634608,-183.5458515,1859.087516,0.029753478,0.949736616,0.000728777,0.065851731,FALSE
 Mkrn1 ,FBgn0029148,FBgn0029152,0.00022743,0.025999422,-155.8780553,-167.8255793,557.8198121,0.437075854,0.949736616,5.82E-05,0.009140644,FALSE
 CG4751 ,FBgn0032346,FBgn0032348,0.000232833,0.026416878,-131.6727258,-143.5937041,265.4742266,0.265546908,0.949736616,9.61E-05,0.013854643,FALSE
 Mat89Ba ,FBgn0261286,FBgn0261286,0.000237512,0.026746644,-173.5793477,-185.4778222,804.8120534,0.059867951,0.949736616,0.000406554,0.041173817,FALSE
 CG9257 ,FBgn0032915,FBgn0032916,0.000243961,0.027269376,-160.4312798,-172.2994454,681.8984033,0.064505762,0.949736616,0.000389792,0.039743012,FALSE
 Gmap ,FBgn0027287,FBgn0027287,0.000245845,0.027277902,-135.432607,-147.2920678,370.0079135,0.637586015,0.949736616,4.41E-05,0.007553885,FALSE
 mu2 ,FBgn0002872,FBgn0002872,0.000249478,0.027279825,-140.707258,-152.5501175,577.2120632,1,1,1.82E-05,0.003570446,FALSE
 Irk1 ,FBgn0265042,FBgn0265042,0.000248976,0.027279825,-158.1881318,-170.033271,774.1550794,0.011622922,0.949736616,0.002013953,0.142282628,FALSE
 axed ,FBgn0035707,FBgn0035708,0.000264311,0.028693898,-140.4890493,-152.266517,373.6197653,0.029279255,0.949736616,0.000898286,0.078353349,FALSE
 CG4610 ,FBgn0034734,FBgn0034735,0.00026707,0.02878638,-172.9617466,-184.7274503,793.0155358,0.099864401,0.949736616,0.000283536,0.031004028,FALSE
 Ubr1 ,FBgn0030808,FBgn0030809,0.000276881,0.029632141,-140.0107713,-151.7356045,474.1133385,1,1,3.00E-05,0.00538886,FALSE
 eRF1 ,FBgn0036974,FBgn0036974,0.000281987,0.029966085,-171.5803535,-183.2844769,2413.078503,0.025113956,0.949736616,0.00111299,0.090783861,FALSE
 Cap-G ,FBgn0259876,FBgn0259876,0.000284374,0.030008397,-146.3235756,-158.0181454,912.9843891,0.006614154,0.949736616,0.003933946,0.228320196,FALSE
 CG12301 ,FBgn0036514,FBgn0036514,0.000301929,0.031639641,-139.4861706,-151.1128146,336.5938074,0.168252496,0.949736616,0.000196916,0.024158189,FALSE
 ppan ,FBgn0010770,FBgn0010770,0.000311631,0.032219582,-158.3834622,-169.974223,505.8654923,0.030865525,0.949736616,0.001019533,0.084930377,FALSE
 28SrRNA-Psi:CR40596 ,FBgn0085753,FBgn0085753,0.000311734,0.032219582,-209.3345247,-220.9249114,495.9310987,7.70E-05,0.089346472,0.237020014,0.999999999,FALSE
 CG12661 ,FBgn0030067,FBgn0030071,0.000316914,0.032376225,-149.9420891,-161.5137692,439.8577652,0.370814654,0.949736616,9.76E-05,0.013887859,FALSE
 Setd3 ,FBgn0052732,FBgn0052732,0.00031754,0.032376225,-127.8487761,-139.4182174,217.0488043,0.127985215,0.949736616,0.000269881,0.029944881,FALSE
 snoRNA:Psi28S-291 ,FBgn0065064,FBgn0065064,0.000352991,0.035749175,-90.73924362,-102.1884783,12.90638003,0.001057422,0.503785742,0.026812085,0.793322281,FALSE
 Pal1 ,FBgn0033465,FBgn0283510,0.000366125,0.036832169,-133.7566081,-145.1643127,341.1775586,0.188215763,0.949736616,0.000218028,0.025657817,FALSE
 CG42668 ,FBgn0261550,FBgn0261550,0.000450871,0.045057245,-162.8585109,-174.0291662,1231.713244,0.013319137,0.949736616,0.003336723,0.20190797,FALSE
 CR41535 ,FBgn0085795,FBgn0085795,0.000465018,0.046165306,-81.1119846,-92.24741039,4.844746749,0.00028923,0.210222916,0.112868608,0.999999999,FALSE
 CG8617 ,FBgn0033924,FBgn0033925,0.000475724,0.046919431,-124.9651611,-136.0746241,253.4905909,0.123011768,0.949736616,0.000434045,0.043090345,FALSE
 IKKbeta ,FBgn0024222,FBgn0024222,0.00049432,0.048353751,-148.8873597,-159.9530645,410.174423,0.554138692,0.949736616,0.000107786,0.014726723,FALSE
 CG32772 ,FBgn0052772,FBgn0052772,0.000496675,0.048353751,-139.5272229,-150.5875021,524.1210423,0.055203039,0.949736616,0.000971657,0.082372508,FALSE
 CG32344 ,FBgn0052344,FBgn0052344,0.000516679,0.049978782,-152.3323846,-163.3475788,499.3347119,0.041039292,0.949736616,0.001341412,0.105426639,FALSE
 CG10376 ,FBgn0032701,FBgn0032702,0.00054323,0.05201399,-144.6855765,-155.64352,312.724355,0.046103072,0.949736616,0.001268686,0.10076035,FALSE
 asRNA:CR45053 ,FBgn0266413,FBgn0266413,0.000544613,0.05201399,-145.1244215,-156.0794589,443.3095637,0.0605379,0.949736616,0.00098366,0.082924182,FALSE
 snz ,FBgn0029975,FBgn0029976,0.000568379,0.053942365,-163.75265,-174.6588561,1059.057737,0.730396237,0.949736616,9.64E-05,0.013854643,FALSE
 dpa ,FBgn0015929,FBgn0015929,0.000573838,0.054120078,-146.7643369,-157.6596111,873.8094605,0.102998352,0.949736616,0.000629457,0.058273049,FALSE
 rudhira ,FBgn0266019,FBgn0266019,0.000595388,0.055803748,-141.5259722,-152.3790703,348.4427351,0.057159143,0.949736616,0.001143464,0.092768138,FALSE
