"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007367","GO:0007367","segment polarity determination","13/18","38/11228",6.38764855789115e-30,6.04271553576503e-27,2.11800978498496e-27,"wg/arm/en/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",13
"GO:0007365","GO:0007365","periodic partitioning","13/18","47/11228",1.65328182154787e-28,7.82002301592143e-26,2.74096723046094e-26,"wg/arm/en/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",13
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","12/18","90/11228",5.87135496808633e-22,1.85143393326989e-19,6.48939233314805e-20,"wg/arm/nkd/fz/arr/dsh/sgg/Axn/gish/Apc/pan/Cow",12
"GO:0009880","GO:0009880","embryonic pattern specification","14/18","207/11228",9.6660548995851e-22,2.28602198375188e-19,8.01265077202449e-20,"wg/arm/en/dpp/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",14
"GO:0035282","GO:0035282","segmentation","14/18","229/11228",4.12348012163499e-21,7.8016243901334e-19,2.73451839645268e-19,"wg/arm/ovo/en/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",14
"GO:0016055","GO:0016055","Wnt signaling pathway","12/18","117/11228",1.62098002945997e-20,2.55574517978188e-18,8.95804753122614e-19,"wg/arm/nkd/fz/arr/dsh/sgg/Axn/gish/Apc/pan/Cow",12
"GO:1905114","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling","12/18","122/11228",2.73853766911747e-20,3.70093804997875e-18,1.29720205379248e-18,"wg/arm/nkd/fz/arr/dsh/sgg/Axn/gish/Apc/pan/Cow",12
"GO:0198738","GO:0198738","cell-cell signaling by wnt","12/18","127/11228",4.52507147209351e-20,5.16439917254569e-18,1.81015437782563e-18,"wg/arm/nkd/fz/arr/dsh/sgg/Axn/gish/Apc/pan/Cow",12
"GO:0007350","GO:0007350","blastoderm segmentation","13/18","190/11228",4.91327616838385e-20,5.16439917254569e-18,1.81015437782563e-18,"wg/arm/en/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",13
"GO:0003002","GO:0003002","regionalization","15/18","464/11228",1.02287008480658e-18,9.67635100227021e-17,3.39162186014812e-17,"wg/arm/ovo/en/dpp/nkd/fz/arr/dsh/sgg/Axn/Apc/Egfr/pan/Cow",15
"GO:0035220","GO:0035220","wing disc development","14/18","385/11228",6.65434227815696e-18,5.72273435921499e-16,2.0058543709277e-16,"wg/arm/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow/Cow",14
"GO:0007560","GO:0007560","imaginal disc morphogenesis","14/18","399/11228",1.10121705120394e-17,8.01347177260717e-16,2.80877223586431e-16,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","14/18","399/11228",1.10121705120394e-17,8.01347177260717e-16,2.80877223586431e-16,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0007472","GO:0007472","wing disc morphogenesis","13/18","290/11228",1.33117806936922e-17,8.99496038302346e-16,3.15279016429553e-16,"wg/arm/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
