"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009636","GO:0009636","response to toxic substance","3/21","150/11267",0.00257977924835013,1,0.229161482723295,"Aldh/LRR/whd",3
"GO:0006897","GO:0006897","endocytosis","3/21","190/11267",0.00501911009792824,1,0.229161482723295,"cindr/Hrs/mv",3
"GO:0043065","GO:0043065","positive regulation of apoptotic process","2/21","68/11267",0.00699932538703075,1,0.229161482723295,"RnrS/CG5059",2
"GO:0051336","GO:0051336","regulation of hydrolase activity","3/21","216/11267",0.00716231498220753,1,0.229161482723295,"RnrS/RhoGAP15B/drongo",3
"GO:0098657","GO:0098657","import into cell","3/21","225/11267",0.00801325759971409,1,0.229161482723295,"cindr/Hrs/mv",3
"GO:0045471","GO:0045471","response to ethanol","2/21","77/11267",0.00890026386708125,1,0.229161482723295,"Aldh/whd",2
"GO:0046677","GO:0046677","response to antibiotic","2/21","87/11267",0.0112527858577881,1,0.229161482723295,"Aldh/whd",2
"GO:0043068","GO:0043068","positive regulation of programmed cell death","2/21","88/11267",0.0115016161054346,1,0.229161482723295,"RnrS/CG5059",2
"GO:0043087","GO:0043087","regulation of GTPase activity","2/21","90/11267",0.0120065645981483,1,0.229161482723295,"RhoGAP15B/drongo",2
"GO:0016192","GO:0016192","vesicle-mediated transport","4/21","498/11267",0.0123951698271358,1,0.229161482723295,"Gmap/cindr/Hrs/mv",4
"GO:0010941","GO:0010941","regulation of cell death","3/21","270/11267",0.0131512715742706,1,0.229161482723295,"RnrS/Aldh/CG5059",3
"GO:0010942","GO:0010942","positive regulation of cell death","2/21","98/11267",0.0141222154996175,1,0.229161482723295,"RnrS/CG5059",2
"GO:0051345","GO:0051345","positive regulation of hydrolase activity","2/21","106/11267",0.0163878314766339,1,0.229161482723295,"RnrS/RhoGAP15B",2
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process","2/21","107/11267",0.0166813543784977,1,0.229161482723295,"CG10365/whd",2
"GO:0051050","GO:0051050","positive regulation of transport","2/21","107/11267",0.0166813543784977,1,0.229161482723295,"cindr/Hrs",2
"GO:0051726","GO:0051726","regulation of cell cycle","3/21","301/11267",0.0175791495121324,1,0.229161482723295,"ncd/cindr/Hrs",3
"GO:0000022","GO:0000022","mitotic spindle elongation","1/21","10/11267",0.0184902733907315,1,0.229161482723295,"ncd",1
"GO:0007100","GO:0007100","mitotic centrosome separation","1/21","10/11267",0.0184902733907315,1,0.229161482723295,"ncd",1
"GO:0008637","GO:0008637","apoptotic mitochondrial changes","1/21","10/11267",0.0184902733907315,1,0.229161482723295,"CG5059",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/21","10/11267",0.0184902733907315,1,0.229161482723295,"CG10365",1
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","2/21","117/11267",0.0197397256844424,1,0.229161482723295,"ncd/Cap-G",2
"GO:0000910","GO:0000910","cytokinesis","2/21","117/11267",0.0197397256844424,1,0.229161482723295,"cindr/Cap-G",2
"GO:2000274","GO:2000274","regulation of epithelial cell migration, open tracheal system","1/21","11/11267",0.020321285583926,1,0.229161482723295,"Hrs",1
"GO:0007298","GO:0007298","border follicle cell migration","2/21","121/11267",0.021024575522826,1,0.229161482723295,"cindr/Hrs",2
"GO:0033619","GO:0033619","membrane protein proteolysis","1/21","12/11267",0.0221490443794786,1,0.229161482723295,"Hrs",1
"GO:0045752","GO:0045752","positive regulation of Toll signaling pathway","1/21","12/11267",0.0221490443794786,1,0.229161482723295,"Hrs",1
"GO:0051231","GO:0051231","spindle elongation","1/21","12/11267",0.0221490443794786,1,0.229161482723295,"ncd",1
"GO:0070193","GO:0070193","synaptonemal complex organization","1/21","12/11267",0.0221490443794786,1,0.229161482723295,"Cap-G",1
"GO:0097305","GO:0097305","response to alcohol","2/21","127/11267",0.0230160678188686,1,0.229161482723295,"Aldh/whd",2
"GO:0042219","GO:0042219","cellular modified amino acid catabolic process","1/21","13/11267",0.0239735552695747,1,0.229161482723295,"CG10365",1
"GO:0050790","GO:0050790","regulation of catalytic activity","3/21","344/11267",0.0249593857487439,1,0.229161482723295,"RnrS/RhoGAP15B/drongo",3
"GO:0007297","GO:0007297","ovarian follicle cell migration","2/21","133/11267",0.0250830376830406,1,0.229161482723295,"cindr/Hrs",2
"GO:0007056","GO:0007056","spindle assembly involved in female meiosis","1/21","14/11267",0.0257948237376162,1,0.229161482723295,"ncd",1
"GO:0061355","GO:0061355","Wnt protein secretion","1/21","14/11267",0.0257948237376162,1,0.229161482723295,"Hrs",1
"GO:0000819","GO:0000819","sister chromatid segregation","2/21","137/11267",0.0265020809148535,1,0.229161482723295,"ncd/Cap-G",2
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","1/21","15/11267",0.0276128552582336,1,0.229161482723295,"Hrs",1
"GO:0043063","GO:0043063","intercellular bridge organization","1/21","15/11267",0.0276128552582336,1,0.229161482723295,"cindr",1
"GO:0006919","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","1/21","16/11267",0.0294276552973001,1,0.229161482723295,"RnrS",1
"GO:0048260","GO:0048260","positive regulation of receptor-mediated endocytosis","1/21","17/11267",0.0312392293119436,1,0.229161482723295,"cindr",1
"GO:0050714","GO:0050714","positive regulation of protein secretion","1/21","17/11267",0.0312392293119436,1,0.229161482723295,"Hrs",1
"GO:1903322","GO:1903322","positive regulation of protein modification by small protein conjugation or removal","1/21","17/11267",0.0312392293119436,1,0.229161482723295,"Hrs",1
"GO:0008219","GO:0008219","cell death","3/21","385/11267",0.0333518396080687,1,0.229161482723295,"RnrS/Aldh/CG5059",3
"GO:0032465","GO:0032465","regulation of cytokinesis","1/21","19/11267",0.0348527210528321,1,0.229161482723295,"cindr",1
"GO:0033044","GO:0033044","regulation of chromosome organization","2/21","160/11267",0.0352719505724376,1,0.229161482723295,"mu2/ncd",2
"GO:0002793","GO:0002793","positive regulation of peptide secretion","1/21","20/11267",0.0366546496497279,1,0.229161482723295,"Hrs",1
"GO:0034333","GO:0034333","adherens junction assembly","1/21","20/11267",0.0366546496497279,1,0.229161482723295,"cindr",1
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","1/21","20/11267",0.0366546496497279,1,0.229161482723295,"cindr",1
"GO:0010631","GO:0010631","epithelial cell migration","2/21","168/11267",0.0385548971073644,1,0.229161482723295,"cindr/Hrs",2
"GO:0090132","GO:0090132","epithelium migration","2/21","169/11267",0.0389733419149779,1,0.229161482723295,"cindr/Hrs",2
"GO:0030301","GO:0030301","cholesterol transport","1/21","22/11267",0.0402488994078474,1,0.229161482723295,"CG3164",1
"GO:0051299","GO:0051299","centrosome separation","1/21","22/11267",0.0402488994078474,1,0.229161482723295,"ncd",1
"GO:0065009","GO:0065009","regulation of molecular function","3/21","415/11267",0.0403283304109894,1,0.229161482723295,"RnrS/RhoGAP15B/drongo",3
"GO:0043085","GO:0043085","positive regulation of catalytic activity","2/21","176/11267",0.0419516077457764,1,0.229161482723295,"RnrS/RhoGAP15B",2
"GO:0051187","GO:0051187","cofactor catabolic process","1/21","23/11267",0.0420412313876107,1,0.229161482723295,"CG10365",1
"GO:0090306","GO:0090306","spindle assembly involved in meiosis","1/21","23/11267",0.0420412313876107,1,0.229161482723295,"ncd",1
"GO:0090130","GO:0090130","tissue migration","2/21","177/11267",0.0423840084817151,1,0.229161482723295,"cindr/Hrs",2
"GO:0010564","GO:0010564","regulation of cell cycle process","2/21","178/11267",0.0428181210180507,1,0.229161482723295,"ncd/cindr",2
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","2/21","178/11267",0.0428181210180507,1,0.229161482723295,"Aldh/Etf-QO",2
"GO:0140014","GO:0140014","mitotic nuclear division","2/21","179/11267",0.0432539381526305,1,0.229161482723295,"ncd/Cap-G",2
"GO:0007076","GO:0007076","mitotic chromosome condensation","1/21","24/11267",0.0438303752991065,1,0.229161482723295,"Cap-G",1
"GO:0017085","GO:0017085","response to insecticide","1/21","24/11267",0.0438303752991065,1,0.229161482723295,"LRR",1
"GO:0032509","GO:0032509","endosome transport via multivesicular body sorting pathway","1/21","24/11267",0.0438303752991065,1,0.229161482723295,"Hrs",1
"GO:0071985","GO:0071985","multivesicular body sorting pathway","1/21","24/11267",0.0438303752991065,1,0.229161482723295,"Hrs",1
"GO:0015918","GO:0015918","sterol transport","1/21","25/11267",0.045616336529981,1,0.229161482723295,"CG3164",1
"GO:0043171","GO:0043171","peptide catabolic process","1/21","25/11267",0.045616336529981,1,0.229161482723295,"CG10365",1
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","1/21","25/11267",0.045616336529981,1,0.229161482723295,"RnrS",1
"GO:0098813","GO:0098813","nuclear chromosome segregation","2/21","189/11267",0.0477042911928544,1,0.229161482723295,"ncd/Cap-G",2
"GO:0001667","GO:0001667","ameboidal-type cell migration","2/21","190/11267",0.048158388864077,1,0.229161482723295,"cindr/Hrs",2
"GO:0050708","GO:0050708","regulation of protein secretion","1/21","27/11267",0.0491787324573267,1,0.229161482723295,"Hrs",1
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","1/21","27/11267",0.0491787324573267,1,0.229161482723295,"RnrS",1
"GO:0008293","GO:0008293","torso signaling pathway","1/21","28/11267",0.0509551778860096,1,0.229161482723295,"Hrs",1
"GO:0008592","GO:0008592","regulation of Toll signaling pathway","1/21","28/11267",0.0509551778860096,1,0.229161482723295,"Hrs",1
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","1/21","29/11267",0.052728462098519,1,0.229161482723295,"RnrS",1
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","1/21","29/11267",0.052728462098519,1,0.229161482723295,"RnrS",1
"GO:1901215","GO:1901215","negative regulation of neuron death","1/21","30/11267",0.0544985904394989,1,0.229161482723295,"Aldh",1
"GO:1902115","GO:1902115","regulation of organelle assembly","1/21","30/11267",0.0544985904394989,1,0.229161482723295,"ncd",1
"GO:0007059","GO:0007059","chromosome segregation","2/21","206/11267",0.0556395270576928,1,0.229161482723295,"ncd/Cap-G",2
"GO:0016567","GO:0016567","protein ubiquitination","2/21","206/11267",0.0556395270576928,1,0.229161482723295,"Hrs/CG4080",2
"GO:0010952","GO:0010952","positive regulation of peptidase activity","1/21","31/11267",0.0562655682450315,1,0.229161482723295,"RnrS",1
"GO:0031396","GO:0031396","regulation of protein ubiquitination","1/21","31/11267",0.0562655682450315,1,0.229161482723295,"Hrs",1
"GO:0051222","GO:0051222","positive regulation of protein transport","1/21","31/11267",0.0562655682450315,1,0.229161482723295,"Hrs",1
"GO:1903532","GO:1903532","positive regulation of secretion by cell","1/21","31/11267",0.0562655682450315,1,0.229161482723295,"Hrs",1
"GO:0042981","GO:0042981","regulation of apoptotic process","2/21","208/11267",0.0566024234452295,1,0.229161482723295,"RnrS/CG5059",2
"GO:0006635","GO:0006635","fatty acid beta-oxidation","1/21","32/11267",0.0580294008426511,1,0.229161482723295,"Etf-QO",1
"GO:0007006","GO:0007006","mitochondrial membrane organization","1/21","32/11267",0.0580294008426511,1,0.229161482723295,"CG5059",1
"GO:0032456","GO:0032456","endocytic recycling","1/21","32/11267",0.0580294008426511,1,0.229161482723295,"Hrs",1
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization","1/21","32/11267",0.0580294008426511,1,0.229161482723295,"Hrs",1
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","1/21","32/11267",0.0580294008426511,1,0.229161482723295,"RnrS",1
"GO:0044093","GO:0044093","positive regulation of molecular function","2/21","212/11267",0.0585461274297942,1,0.229161482723295,"RnrS/RhoGAP15B",2
"GO:0051047","GO:0051047","positive regulation of secretion","1/21","33/11267",0.0597900935513566,1,0.229161482723295,"Hrs",1
"GO:0090307","GO:0090307","mitotic spindle assembly","1/21","34/11267",0.0615476516816235,1,0.229161482723295,"ncd",1
"GO:1903688","GO:1903688","positive regulation of border follicle cell migration","1/21","34/11267",0.0615476516816235,1,0.229161482723295,"Hrs",1
"GO:0032446","GO:0032446","protein modification by small protein conjugation","2/21","220/11267",0.0625037039304044,1,0.229161482723295,"Hrs/CG4080",2
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration","1/21","35/11267",0.0633020805354193,1,0.229161482723295,"Hrs",1
"GO:0030858","GO:0030858","positive regulation of epithelial cell differentiation","1/21","35/11267",0.0633020805354193,1,0.229161482723295,"Hrs",1
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","1/21","35/11267",0.0633020805354193,1,0.229161482723295,"Hrs",1
"GO:1903684","GO:1903684","regulation of border follicle cell migration","1/21","35/11267",0.0633020805354193,1,0.229161482723295,"Hrs",1
"GO:1905037","GO:1905037","autophagosome organization","1/21","35/11267",0.0633020805354193,1,0.229161482723295,"mv",1
"GO:0002791","GO:0002791","regulation of peptide secretion","1/21","36/11267",0.0650533854062134,1,0.229161482723295,"Hrs",1
"GO:0019395","GO:0019395","fatty acid oxidation","1/21","36/11267",0.0650533854062134,1,0.229161482723295,"Etf-QO",1
"GO:0045807","GO:0045807","positive regulation of endocytosis","1/21","36/11267",0.0650533854062134,1,0.229161482723295,"cindr",1
"GO:0015850","GO:0015850","organic hydroxy compound transport","1/21","37/11267",0.066801571578991,1,0.230468484496586,"CG3164",1
"GO:0034440","GO:0034440","lipid oxidation","1/21","37/11267",0.066801571578991,1,0.230468484496586,"Etf-QO",1
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","1/21","39/11267",0.0702886089281008,1,0.230468484496586,"Hrs",1
"GO:0043067","GO:0043067","regulation of programmed cell death","2/21","236/11267",0.0706879513563968,1,0.230468484496586,"RnrS/CG5059",2
"GO:0000212","GO:0000212","meiotic spindle organization","1/21","40/11267",0.0720274706321006,1,0.230468484496586,"ncd",1
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","1/21","40/11267",0.0720274706321006,1,0.230468484496586,"ncd",1
"GO:0034332","GO:0034332","adherens junction organization","1/21","40/11267",0.0720274706321006,1,0.230468484496586,"cindr",1
"GO:1901214","GO:1901214","regulation of neuron death","1/21","40/11267",0.0720274706321006,1,0.230468484496586,"Aldh",1
"GO:0051049","GO:0051049","regulation of transport","2/21","240/11267",0.0727877126548951,1,0.230468484496586,"cindr/Hrs",2
"GO:0007427","GO:0007427","epithelial cell migration, open tracheal system","1/21","41/11267",0.0737632346934459,1,0.230468484496586,"Hrs",1
"GO:0051302","GO:0051302","regulation of cell division","1/21","41/11267",0.0737632346934459,1,0.230468484496586,"cindr",1
"GO:1905881","GO:1905881","positive regulation of oogenesis","1/21","41/11267",0.0737632346934459,1,0.230468484496586,"Hrs",1
"GO:0042493","GO:0042493","response to drug","2/21","242/11267",0.0738453753579297,1,0.230468484496586,"Aldh/whd",2
"GO:0070997","GO:0070997","neuron death","1/21","42/11267",0.0754959063548961,1,0.233570859020182,"Aldh",1
"GO:0009062","GO:0009062","fatty acid catabolic process","1/21","43/11267",0.0772254908508019,1,0.234837749955655,"Etf-QO",1
"GO:0097190","GO:0097190","apoptotic signaling pathway","1/21","43/11267",0.0772254908508019,1,0.234837749955655,"CG5059",1
"GO:0006090","GO:0006090","pyruvate metabolic process","1/21","44/11267",0.0789519934071221,1,0.238053289666434,"Aldh",1
"GO:0010632","GO:0010632","regulation of epithelial cell migration","1/21","46/11267",0.0823957735629365,1,0.242352744363879,"Hrs",1
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","1/21","46/11267",0.0823957735629365,1,0.242352744363879,"ncd",1
"GO:0051028","GO:0051028","mRNA transport","1/21","47/11267",0.0841130615724882,1,0.242352744363879,"ncd",1
"GO:0097164","GO:0097164","ammonium ion metabolic process","1/21","47/11267",0.0841130615724882,1,0.242352744363879,"whd",1
"GO:0006898","GO:0006898","receptor-mediated endocytosis","1/21","48/11267",0.0858272884625926,1,0.242352744363879,"cindr",1
"GO:0051983","GO:0051983","regulation of chromosome segregation","1/21","48/11267",0.0858272884625926,1,0.242352744363879,"ncd",1
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","1/21","48/11267",0.0858272884625926,1,0.242352744363879,"Etf-QO",1
"GO:2000243","GO:2000243","positive regulation of reproductive process","1/21","48/11267",0.0858272884625926,1,0.242352744363879,"Hrs",1
"GO:0010038","GO:0010038","response to metal ion","1/21","49/11267",0.0875384594174271,1,0.242829852757985,"whd",1
"GO:0030335","GO:0030335","positive regulation of cell migration","1/21","49/11267",0.0875384594174271,1,0.242829852757985,"Hrs",1
"GO:0032270","GO:0032270","positive regulation of cellular protein metabolic process","2/21","268/11267",0.0880437824126956,1,0.242829852757985,"RnrS/Hrs",2
"GO:0008063","GO:0008063","Toll signaling pathway","1/21","50/11267",0.0892465796128481,1,0.243184841540663,"Hrs",1
"GO:0006749","GO:0006749","glutathione metabolic process","1/21","51/11267",0.0909516542164078,1,0.243184841540663,"CG10365",1
"GO:0031935","GO:0031935","regulation of chromatin silencing","1/21","52/11267",0.092653688387365,1,0.243184841540663,"mu2",1
"GO:2000147","GO:2000147","positive regulation of cell motility","1/21","52/11267",0.092653688387365,1,0.243184841540663,"Hrs",1
"GO:0006915","GO:0006915","apoptotic process","2/21","278/11267",0.093713324817223,1,0.243184841540663,"RnrS/CG5059",2
"GO:0051301","GO:0051301","cell division","2/21","278/11267",0.093713324817223,1,0.243184841540663,"cindr/Cap-G",2
"GO:0070647","GO:0070647","protein modification by small protein conjugation or removal","2/21","279/11267",0.0942862676719346,1,0.243184841540663,"Hrs/CG4080",2
"GO:0016482","GO:0016482","cytosolic transport","1/21","53/11267",0.0943526872766977,1,0.243184841540663,"Hrs",1
"GO:0001578","GO:0001578","microtubule bundle formation","1/21","54/11267",0.0960486560271157,1,0.243184841540663,"ncd",1
"GO:0007033","GO:0007033","vacuole organization","1/21","54/11267",0.0960486560271157,1,0.243184841540663,"mv",1
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","1/21","54/11267",0.0960486560271157,1,0.243184841540663,"ncd",1
"GO:0051247","GO:0051247","positive regulation of protein metabolic process","2/21","284/11267",0.0971668724041063,1,0.243184841540663,"RnrS/Hrs",2
"GO:0016322","GO:0016322","neuron remodeling","1/21","55/11267",0.0977415997730743,1,0.243184841540663,"Hrs",1
"GO:0050777","GO:0050777","negative regulation of immune response","1/21","55/11267",0.0977415997730743,1,0.243184841540663,"LRR",1
"GO:0030100","GO:0030100","regulation of endocytosis","1/21","56/11267",0.0994315236407842,1,0.24567145460954,"cindr",1
"GO:0006909","GO:0006909","phagocytosis","1/21","57/11267",0.101118432748227,1,0.24641694498126,"mv",1
"GO:0042551","GO:0042551","neuron maturation","1/21","57/11267",0.101118432748227,1,0.24641694498126,"Hrs",1
"GO:0051223","GO:0051223","regulation of protein transport","1/21","59/11267",0.104483227113159,1,0.250683919970239,"Hrs",1
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","1/21","60/11267",0.10616112256557,1,0.250683919970239,"CG8777",1
