"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","GO:0042254","ribosome biogenesis","32/57","198/11267",3.49912757695655e-42,1.56061089932262e-39,1.39228444641008e-39,"Fib/ppan/Rtc1/Nnp-1/Nmd3/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/Mys45A/CG12325/CG8545/CG10576/CG5114/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG10286/CG9799/Surf6/CG12499/CG7006/RIOK2/CG1542/CG32409/Nop60B/nclb",32
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","32/57","282/11267",5.43411372587537e-37,2.42361472174041e-34,1.08110262546363e-34,"Fib/ppan/Rtc1/Nnp-1/Nmd3/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/Mys45A/CG12325/CG8545/CG10576/CG5114/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG10286/CG9799/Surf6/CG12499/CG7006/RIOK2/CG1542/CG32409/Nop60B/nclb",32
"GO:0016072","GO:0016072","rRNA metabolic process","23/57","142/11267",1.19388001025027e-29,5.3247048457162e-27,1.58346190833194e-27,"Fib/Nnp-1/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/CG12325/CG8545/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG9799/CG12499/RIOK2/CG1542/CG32409/Nop60B/nclb",23
"GO:0006364","GO:0006364","rRNA processing","22/57","125/11267",3.60550655303601e-29,1.60805592265406e-26,3.58653020275687e-27,"Fib/Nnp-1/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/CG12325/CG8545/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG9799/CG12499/RIOK2/CG1542/CG32409/Nop60B",22
"GO:0034470","GO:0034470","ncRNA processing","22/57","241/11267",1.26165777648881e-22,5.62699368314009e-20,1.00401397792162e-20,"Fib/Nnp-1/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/CG12325/CG8545/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG9799/CG12499/RIOK2/CG1542/CG32409/Nop60B",22
"GO:0034660","GO:0034660","ncRNA metabolic process","23/57","320/11267",2.69870777816645e-21,1.20362366906224e-18,1.7896693686788e-19,"Fib/Nnp-1/nop5/CG5033/NHP2/CG1785/CG8939/CG13096/CG13097/CG12325/CG8545/CG12301/CG7728/CG12975/Tsr1/Nopp140/CG9799/CG12499/RIOK2/CG1542/CG32409/Nop60B/nclb",23
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","14/57","56/11267",6.35787780867535e-21,2.83561350266921e-18,3.6139515965102e-19,"ppan/CG5033/NHP2/CG1785/CG8939/CG13096/Mys45A/CG5114/CG10286/Surf6/CG12499/CG7006/CG1542/CG32409",14
"GO:0000154","GO:0000154","rRNA modification","7/57","22/11267",9.31736471589889e-12,4.15554466329091e-09,4.63416297711813e-10,"Fib/NHP2/CG8939/CG8545/CG12975/Nopp140/Nop60B",7
"GO:0031167","GO:0031167","rRNA methylation","5/57","15/11267",8.00302911070437e-09,3.56935098337415e-06,3.53818129104825e-07,"Fib/CG8939/CG8545/CG12975/Nopp140",5
"GO:0000470","GO:0000470","maturation of LSU-rRNA","5/57","20/11267",4.05298456191542e-08,1.80763111461428e-05,1.61266122568845e-06,"CG5033/NHP2/CG8939/CG13096/CG12499",5
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","4/57","12/11267",2.82697832008557e-07,0.000126083233075817,9.37366495607322e-06,"Nmd3/Mys45A/CG10576/CG32409",4
"GO:0033750","GO:0033750","ribosome localization","4/57","12/11267",2.82697832008557e-07,0.000126083233075817,9.37366495607322e-06,"Nmd3/Mys45A/CG10576/CG32409",4
"GO:0071428","GO:0071428","rRNA-containing ribonucleoprotein complex export from nucleus","4/57","13/11267",4.06805130944622e-07,0.000181435088401301,1.24512015787099e-05,"Nmd3/Mys45A/CG10576/CG32409",4
"GO:0009451","GO:0009451","RNA modification","7/57","96/11267",4.88081272290285e-07,0.000217684247441467,1.38717835282502e-05,"Fib/NHP2/CG8939/CG8545/CG12975/Nopp140/Nop60B",7
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","6/57","63/11267",6.96174945523783e-07,0.000310494025703607,1.84669564496835e-05,"CG12325/CG7728/Tsr1/Surf6/RIOK2/CG32409",6
"GO:0030490","GO:0030490","maturation of SSU-rRNA","5/57","44/11267",2.58833123334505e-06,0.00115439573007189,6.43677109345019e-05,"CG12325/CG7728/Tsr1/RIOK2/CG32409",5
