"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007224","GO:0007224","smoothened signaling pathway","21/30","64/11228",2.60168324876499e-42,2.49761591881439e-39,1.25154657335327e-39,"ptc/Smurf/Su(fu)/hh/boi/rdx/Pka-C1/slmb/Cul3/ihog/Roc1a/disp/Usp8/Cul4/Gug/shf/Gprk2/dlp/dally/flw/cos",21
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","19/30","61/11228",2.13337057199354e-37,1.0240178745569e-34,5.13131763895288e-35,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/disp/Usp8/Cul4/Gug/shf/Gprk2/dlp/dally/flw/cos/rasp",19
"GO:0045879","GO:0045879","negative regulation of smoothened signaling pathway","13/30","36/11228",3.72698309941177e-26,1.19263459181177e-23,5.97625009274098e-24,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/Cul4/Gug/Gprk2/flw/cos",13
"GO:0035220","GO:0035220","wing disc development","17/30","385/11228",7.04420018693247e-18,1.69060804486379e-15,8.47157759323194e-16,"ptc/hh/boi/Pka-C1/Cul3/ihog/disp/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/rasp",17
"GO:0045880","GO:0045880","positive regulation of smoothened signaling pathway","9/30","30/11228",2.53602438281713e-17,4.86916681500889e-15,2.43992240620511e-15,"Smurf/Pka-C1/disp/Usp8/shf/Gprk2/dlp/dally/rasp",9
"GO:0009968","GO:0009968","negative regulation of signal transduction","15/30","310/11228",3.15133775036913e-16,5.0421404005906e-14,2.52659886301525e-14,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/Cul4/Gug/krz/Gprk2/dally/flw/cos",15
"GO:0010648","GO:0010648","negative regulation of cell communication","15/30","336/11228",1.04802695499468e-15,1.31452417430167e-13,6.58703451377045e-14,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/Cul4/Gug/krz/Gprk2/dally/flw/cos",15
"GO:0023057","GO:0023057","negative regulation of signaling","15/30","337/11228",1.09543681191806e-15,1.31452417430167e-13,6.58703451377045e-14,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/Cul4/Gug/krz/Gprk2/dally/flw/cos",15
"GO:0009967","GO:0009967","positive regulation of signal transduction","15/30","366/11228",3.73376115955223e-15,3.98267857018905e-13,1.99570625721096e-13,"Smurf/rdx/Pka-C1/disp/Shc/msn/Usp8/shf/Gprk2/dlp/dally/dco/flw/rasp/Sos",15
"GO:0048585","GO:0048585","negative regulation of response to stimulus","15/30","374/11228",5.14346511422515e-15,4.93772650965614e-13,2.47427742863252e-13,"ptc/Smurf/Su(fu)/rdx/Pka-C1/slmb/Cul3/Roc1a/Cul4/Gug/krz/Gprk2/dally/flw/cos",15
"GO:0010647","GO:0010647","positive regulation of cell communication","15/30","398/11228",1.28972331037954e-14,9.17739574058654e-13,4.59876080421935e-13,"Smurf/rdx/Pka-C1/disp/Shc/msn/Usp8/shf/Gprk2/dlp/dally/dco/flw/rasp/Sos",15
"GO:0023056","GO:0023056","positive regulation of signaling","15/30","398/11228",1.28972331037954e-14,9.17739574058654e-13,4.59876080421935e-13,"Smurf/rdx/Pka-C1/disp/Shc/msn/Usp8/shf/Gprk2/dlp/dally/dco/flw/rasp/Sos",15
"GO:0007560","GO:0007560","imaginal disc morphogenesis","15/30","399/11228",1.33837021216887e-14,9.17739574058654e-13,4.59876080421935e-13,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","15/30","399/11228",1.33837021216887e-14,9.17739574058654e-13,4.59876080421935e-13,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0035120","GO:0035120","post-embryonic appendage morphogenesis","14/30","326/11228",2.19409104311803e-14,1.40421826759554e-12,7.03648846810483e-13,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",14
"GO:0035114","GO:0035114","imaginal disc-derived appendage morphogenesis","14/30","335/11228",3.19775262180698e-14,1.91865157308419e-12,9.61429571161703e-13,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",14
"GO:0035107","GO:0035107","appendage morphogenesis","14/30","338/11228",3.61698571022301e-14,2.04253310694946e-12,1.02350617310954e-12,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",14
"GO:0048737","GO:0048737","imaginal disc-derived appendage development","14/30","342/11228",4.2550887095963e-14,2.26938064511803e-12,1.13717867852954e-12,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",14
"GO:0048736","GO:0048736","appendage development","14/30","346/11228",4.99579939564772e-14,2.52419337885358e-12,1.26486444532466e-12,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",14
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","15/30","446/11228",6.88445848086934e-14,3.30454007081728e-12,1.6558934346091e-12,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0007476","GO:0007476","imaginal disc-derived wing morphogenesis","13/30","280/11228",8.96662108649816e-14,4.09902678239916e-12,2.05400793811011e-12,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos",13
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","15/30","459/11228",1.04871837122915e-13,4.57622561990903e-12,2.29313060120441e-12,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0003002","GO:0003002","regionalization","15/30","464/11228",1.22887482271989e-13,4.91549929087955e-12,2.46313944729381e-12,"ptc/hh/boi/rdx/Pka-C1/slmb/ihog/disp/Shc/csw/Gug/dlp/dally/flw/rasp",15
"GO:0048569","GO:0048569","post-embryonic animal organ development","15/30","464/11228",1.22887482271989e-13,4.91549929087955e-12,2.46313944729381e-12,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0007472","GO:0007472","wing disc morphogenesis","13/30","290/11228",1.4086422293407e-13,5.40918616066828e-12,2.71052420551031e-12,"ptc/hh/Pka-C1/Cul3/Shc/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos",13
"GO:0060562","GO:0060562","epithelial tube morphogenesis","15/30","470/11228",1.4828474343883e-13,5.47512898851064e-12,2.74356792516378e-12,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0007552","GO:0007552","metamorphosis","15/30","473/11228",1.62733927667095e-13,5.78609520594116e-12,2.89939200560867e-12,"ptc/hh/Pka-C1/Cul3/Shc/msn/Usp8/Gug/Gprk2/dlp/dally/dco/flw/cos/Sos",15
"GO:0048584","GO:0048584","positive regulation of response to stimulus","15/30","477/11228",1.84034879820107e-13,6.30976730811794e-12,3.16180225856349e-12,"Smurf/rdx/Pka-C1/disp/Shc/msn/Usp8/shf/Gprk2/dlp/dally/dco/flw/rasp/Sos",15
"GO:0035282","GO:0035282","segmentation","12/30","229/11228",2.43095296781929e-13,8.04729258312593e-12,4.03247007729008e-12,"hh/rdx/Pka-C1/slmb/ihog/disp/Shc/csw/Gug/dlp/dally/rasp",12
"GO:0009880","GO:0009880","embryonic pattern specification","11/30","207/11228",2.57805644585297e-12,8.24978062672951e-11,4.13393612545547e-11,"hh/rdx/Pka-C1/slmb/disp/Shc/csw/Gug/dlp/dally/rasp",11
